frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,image
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.2,1.3,0.0,1.82,3.57,0.98,0.35,0.27,0.35,0.0,0.2,0.0,0.73,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_1.jpg
2,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.18,1.36,0.0,1.73,3.58,1.09,0.25,0.23,0.3,0.0,0.13,0.0,1.31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_2.jpg
3,0,0.0,0.98,1,0.4,0.22,0.0,0.23,1.74,0.92,0.0,1.62,3.33,1.16,0.18,0.19,0.18,0.0,0.61,0.24,1.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_3.jpg
4,0,0.0,0.98,1,0.92,0.44,0.0,0.44,1.27,0.5,0.0,1.55,3.12,1.16,0.12,0.22,0.07,0.0,1.16,0.34,1.29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_1.jpg
5,0,0.0,0.98,1,0.92,0.44,0.0,0.44,0.72,0.64,0.0,1.49,2.55,1.08,0.1,0.34,0.0,0.0,1.26,0.62,0.51,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_2.jpg
6,0,0.0,0.98,1,0.52,0.22,0.02,0.32,0.95,0.64,0.73,1.63,2.33,1.56,0.48,0.51,0.0,0.47,1.23,0.37,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_3.jpg
7,0,0.0,0.88,1,0.0,0.0,0.02,0.31,1.2,0.7,1.49,1.91,2.19,2.04,0.77,0.55,0.0,1.09,1.17,0.28,0.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_1.jpg
8,0,0.0,0.88,1,0.0,0.0,0.02,0.44,1.51,0.1,2.17,2.05,2.3,2.63,0.98,0.71,0.0,1.75,1.55,0.0,0.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_2.jpg
9,0,0.0,0.88,1,0.0,0.0,0.0,0.34,1.82,0.94,1.44,1.87,2.53,2.23,0.55,0.48,0.2,1.27,1.59,0.08,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_3.jpg
10,0,0.0,0.98,1,0.0,0.0,0.0,0.14,2.15,1.65,0.69,1.62,2.76,1.92,0.26,0.3,0.49,0.66,1.66,0.19,0.64,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_004_1.jpg
11,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.52,2.54,0.0,1.44,2.95,1.52,0.0,0.08,0.8,0.0,1.65,0.37,0.77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_004_2.jpg
12,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.75,1.93,0.0,0.98,2.43,1.08,0.0,0.08,0.6,0.15,1.4,1.02,0.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_004_3.jpg
13,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.95,1.28,0.0,0.5,1.86,0.56,0.0,0.08,0.31,0.41,1.02,1.58,0.23,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_005_1.jpg
14,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.17,0.53,0.0,0.0,1.4,0.07,0.0,0.0,0.0,0.66,0.66,2.06,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_005_2.jpg
15,0,0.0,0.98,1,0.65,0.95,0.0,0.54,0.52,0.3,0.0,0.55,2.15,0.41,0.26,0.52,0.13,1.12,1.02,1.6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_005_3.jpg
16,0,0.0,0.98,1,1.44,1.99,0.0,0.97,0.96,0.14,0.0,1.19,2.86,0.96,0.53,1.22,0.28,1.31,1.46,0.94,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_006_1.jpg
17,0,0.0,0.98,1,2.25,3.01,0.0,1.41,1.39,0.0,0.0,1.86,3.52,1.63,0.82,2.01,0.39,1.4,1.81,0.28,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_006_2.jpg
18,0,0.0,0.98,1,1.6,2.06,0.0,0.87,0.98,0.0,0.0,1.31,2.34,1.24,0.56,1.5,0.26,0.79,1.14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_006_3.jpg
19,0,0.0,0.03,0,0.8,1.02,0.0,0.44,0.49,0.0,0.0,0.67,1.16,0.67,0.29,0.79,0.11,0.34,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_007_1.jpg
20,0,0.0,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_007_2.jpg
21,0,0.0,0.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_007_3.jpg
22,0,0.0,0.47,0,0.0,0.0,0.05,0.0,0.75,0.44,0.0,0.43,0.77,0.21,0.0,0.06,0.38,0.0,0.54,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_008_1.jpg
23,0,0.0,0.98,1,0.12,0.0,0.05,0.0,1.54,0.84,0.0,0.85,1.61,0.67,0.0,0.15,0.66,0.0,0.99,0.91,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_008_2.jpg
24,0,0.0,0.98,1,0.25,0.0,0.05,0.0,2.45,1.35,0.0,1.13,2.54,0.97,0.0,0.15,0.94,0.3,1.4,1.49,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_008_3.jpg
25,0,0.0,0.98,1,0.51,0.0,0.0,0.0,2.72,1.62,0.0,1.11,2.82,1.21,0.0,0.09,0.77,0.3,1.21,1.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_009_1.jpg
26,0,0.0,0.98,1,0.59,0.0,0.0,0.0,3.01,1.94,0.0,1.14,3.03,1.16,0.0,0.0,0.61,0.3,1.33,1.48,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_009_2.jpg
27,0,0.0,0.98,1,0.61,0.0,0.0,0.0,2.09,1.57,0.0,1.14,2.61,1.1,0.0,0.44,0.33,0.0,0.97,0.9,0.68,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_009_3.jpg
28,0,0.0,0.98,1,0.48,0.0,0.0,0.0,1.07,0.89,0.0,1.04,2.1,0.91,0.0,0.88,0.12,0.0,0.61,0.45,1.31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_010_1.jpg
29,0,0.0,0.98,1,0.47,0.0,0.0,0.0,0.0,0.17,0.0,1.01,1.68,0.84,0.0,1.33,0.0,0.0,0.05,0.0,2.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_010_2.jpg
30,0,0.0,0.98,1,0.32,0.0,0.36,0.0,0.69,1.24,0.45,1.24,1.86,0.97,0.11,0.94,0.2,0.19,0.15,0.0,1.95,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_010_3.jpg
31,0,0.0,0.98,1,0.2,0.0,0.74,0.0,1.35,2.58,0.96,1.46,1.98,1.1,0.24,0.5,0.51,0.35,0.2,0.0,1.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_012_1.jpg
32,0,0.0,0.98,1,0.0,0.0,0.94,0.0,2.06,3.86,1.47,1.61,2.04,1.17,0.36,0.09,0.72,0.53,0.45,0.0,1.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_012_2.jpg
33,0,0.0,0.98,1,0.11,0.0,0.58,0.0,1.38,2.65,1.02,1.09,1.77,1.04,0.25,0.08,0.66,0.34,0.41,0.41,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_012_3.jpg
34,0,0.0,0.93,1,0.34,0.0,0.2,0.0,0.71,1.27,0.51,0.62,1.55,0.92,0.12,0.32,0.46,0.19,0.66,1.19,1.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,anil_clip_013_1.jpg
35,0,0.0,0.98,1,0.58,0.02,0.01,0.0,0.0,0.0,0.0,0.05,1.29,0.73,0.0,0.43,0.41,0.02,0.64,1.76,1.52,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,anil_clip_013_2.jpg
36,0,0.0,0.98,1,0.47,0.02,0.01,0.0,0.5,0.37,0.0,0.56,1.86,0.92,0.07,0.59,0.27,0.02,1.13,1.35,1.42,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_013_3.jpg
37,0,0.0,0.98,1,0.24,0.02,0.0,0.0,1.06,0.71,0.0,1.18,2.3,1.09,0.25,0.71,0.16,0.11,1.37,0.71,0.86,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,anil_clip_014_1.jpg
38,0,0.0,0.93,1,0.0,0.0,0.0,0.0,1.37,0.88,0.0,1.54,2.81,1.38,0.37,0.65,0.0,0.11,1.72,0.15,0.35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_014_2.jpg
39,0,0.0,0.98,1,0.0,0.0,0.01,0.0,1.4,1.36,0.25,1.31,2.51,1.44,0.36,0.79,0.0,0.11,1.11,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_014_3.jpg
40,0,0.0,0.93,1,0.0,0.0,0.01,0.0,1.37,1.8,0.55,0.96,2.34,1.64,0.31,0.86,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_015_1.jpg
41,0,0.0,0.88,1,0.0,0.0,0.03,0.0,1.56,2.58,0.87,0.9,2.04,1.64,0.27,1.25,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_015_2.jpg
42,0,0.0,0.88,1,0.58,0.09,0.13,0.0,1.41,1.73,0.62,1.41,1.78,2.21,0.38,1.9,0.46,0.35,0.11,0.44,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_015_3.jpg
43,0,0.0,0.98,1,1.17,0.09,0.13,0.0,1.14,0.95,0.32,1.83,1.49,2.39,0.41,2.37,0.79,0.52,0.33,0.79,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_016_1.jpg
44,0,0.0,0.98,1,1.6,0.09,0.1,0.31,0.65,0.0,0.0,2.25,1.19,2.34,0.34,3.21,0.79,0.77,0.36,1.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_016_2.jpg
45,0,0.0,0.98,1,1.02,0.0,0.0,0.31,0.47,0.4,0.0,1.47,1.25,1.46,0.16,2.22,0.33,0.49,0.44,0.76,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_016_3.jpg
46,0,0.0,0.98,1,0.43,0.0,0.0,0.31,0.41,0.85,0.0,0.73,1.31,0.81,0.0,1.31,0.0,0.32,0.37,0.41,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_017_1.jpg
47,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.56,1.33,0.0,0.0,1.4,0.58,0.0,0.05,0.0,0.0,0.4,0.02,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_017_2.jpg
48,0,0.0,0.98,1,0.0,0.0,0.22,0.0,0.77,1.15,0.0,0.0,1.51,0.52,0.0,0.49,0.0,0.0,0.2,0.02,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_017_3.jpg
49,0,0.0,0.88,1,0.0,0.0,0.28,0.0,1.04,1.02,0.0,0.0,1.71,0.63,0.0,0.78,0.0,0.0,0.06,0.02,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_018_1.jpg
50,0,0.0,0.93,1,0.0,0.0,0.34,0.0,1.29,0.93,0.0,0.0,1.88,0.4,0.0,1.01,0.03,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_018_2.jpg
51,0,0.0,0.93,1,0.0,0.0,0.13,0.0,1.53,1.07,0.09,0.4,1.99,0.53,0.0,1.36,0.93,0.31,0.21,0.23,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_018_3.jpg
52,0,0.0,0.98,1,0.0,0.0,0.07,0.0,1.76,1.13,0.21,0.81,2.01,0.49,0.0,1.87,1.91,0.62,0.36,0.48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,anil_clip_020_1.jpg
53,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.01,0.99,0.28,1.17,2.14,0.76,0.0,2.4,2.87,0.85,0.52,0.68,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_020_2.jpg
54,0,0.0,0.98,1,0.16,0.0,0.0,0.0,1.53,0.62,0.25,1.32,2.13,0.78,0.42,1.83,1.97,0.59,0.75,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_020_3.jpg
55,0,0.0,0.98,1,0.41,0.0,0.0,0.0,0.99,0.25,0.14,1.48,2.17,1.17,0.86,1.08,0.99,0.29,0.92,0.41,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_021_1.jpg
56,0,0.0,0.98,1,0.55,0.0,0.0,0.0,0.5,0.0,0.07,1.77,2.2,1.38,1.19,0.29,0.0,0.0,1.09,0.31,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_021_2.jpg
57,0,0.0,0.98,1,0.84,0.0,0.47,0.0,0.6,1.13,0.29,1.54,1.62,1.39,0.97,0.07,0.0,0.0,0.65,0.16,0.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_021_3.jpg
58,0,0.0,0.82,1,0.98,0.0,1.08,0.0,0.75,2.41,0.78,1.23,0.97,1.21,0.53,0.01,0.0,0.0,0.34,0.1,1.31,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_022_1.jpg
59,0,0.0,0.98,1,0.84,0.0,1.66,0.0,1.57,2.87,0.97,1.22,1.0,1.33,0.2,0.0,0.06,0.0,0.64,0.03,1.31,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_022_2.jpg
60,0,0.0,0.98,1,0.88,0.38,1.19,0.15,2.01,1.74,0.69,1.8,2.01,1.63,0.17,0.61,0.06,0.43,1.09,0.03,0.69,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_022_3.jpg
61,0,0.0,0.98,1,1.0,0.8,0.58,0.21,2.45,0.46,0.19,2.5,3.16,1.7,0.47,1.27,0.06,0.88,1.37,0.03,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_023_1.jpg
62,0,0.0,0.98,1,1.45,1.09,0.0,0.28,2.22,0.12,0.0,2.74,3.63,1.63,0.63,1.93,0.0,1.37,1.04,0.07,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_023_2.jpg
63,0,0.0,0.98,1,1.22,1.0,0.55,0.36,1.72,0.12,0.08,2.16,3.18,1.29,0.46,1.32,0.0,0.94,0.86,0.07,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_023_3.jpg
64,0,0.0,0.88,1,0.85,0.76,1.01,0.46,1.24,0.12,0.14,1.4,2.63,1.2,0.16,0.67,0.0,0.48,0.72,0.07,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_024_1.jpg
65,0,0.0,0.88,1,0.56,0.51,1.55,0.6,0.68,0.0,0.22,0.71,2.05,1.04,0.0,0.0,0.0,0.0,0.57,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_024_2.jpg
66,0,0.0,0.88,1,0.3,0.22,1.0,0.37,0.92,0.0,0.14,0.83,2.13,1.63,0.0,0.24,0.0,0.01,0.3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_024_3.jpg
