frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,image
67,0,0.0,0.93,1,0.16,0.04,0.54,0.2,1.25,0.0,0.07,1.17,2.27,1.94,0.0,0.47,0.0,0.15,0.16,0.0,0.04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_025_1.jpg
68,0,0.0,0.93,1,0.01,0.0,0.0,0.0,1.52,0.0,0.0,1.34,2.41,2.35,0.0,0.75,0.0,0.28,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_025_2.jpg
69,0,0.0,0.93,1,0.01,0.0,0.61,0.0,1.8,1.08,0.0,1.53,2.76,2.06,0.0,0.75,0.0,0.82,0.34,0.27,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_025_3.jpg
70,0,0.0,0.93,1,0.01,0.0,1.25,0.0,2.07,2.02,0.0,1.67,3.12,1.92,0.0,0.79,0.0,1.21,0.67,0.57,0.12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_026_1.jpg
71,0,0.0,0.93,1,0.0,0.0,1.76,0.0,2.51,2.9,0.0,2.04,3.42,1.64,0.0,0.74,0.0,1.43,1.03,0.89,0.06,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_026_2.jpg
72,0,0.0,0.93,1,0.24,0.0,1.14,0.0,1.9,1.82,0.0,1.77,2.85,1.56,0.0,1.13,0.0,0.89,1.0,1.1,0.06,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_026_3.jpg
73,0,0.0,0.93,1,0.7,0.0,0.51,0.0,1.16,0.88,0.0,1.53,2.31,1.44,0.0,1.46,0.0,0.37,0.77,1.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_027_1.jpg
74,0,0.0,0.88,1,1.12,0.0,0.0,0.0,0.4,0.0,0.0,1.24,1.82,1.57,0.0,1.84,0.0,0.01,0.58,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_027_2.jpg
75,0,0.0,0.98,1,1.13,0.0,0.1,0.01,0.29,0.0,0.01,1.49,1.38,1.26,0.0,1.88,0.02,0.11,0.27,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_027_3.jpg
76,0,0.0,0.98,1,0.9,0.0,0.21,0.01,0.16,0.0,0.1,1.68,0.83,0.98,0.02,1.94,0.08,0.21,0.17,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_028_1.jpg
77,0,0.0,0.98,1,0.62,0.0,0.39,0.01,0.0,0.0,0.18,1.76,0.28,0.65,0.02,1.91,0.25,0.23,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_028_2.jpg
78,0,0.0,0.98,1,0.38,0.0,0.37,0.0,0.33,0.0,0.4,1.38,0.52,0.83,0.03,1.59,0.22,0.16,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_028_3.jpg
79,0,0.0,0.93,1,0.16,0.0,0.36,0.0,0.71,0.0,0.5,0.87,0.84,1.11,0.01,1.25,0.17,0.09,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,anil_clip_029_1.jpg
80,0,0.0,0.98,1,0.0,0.0,0.25,0.0,1.11,0.1,0.59,0.54,1.16,1.33,0.08,0.93,0.0,0.07,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,anil_clip_029_2.jpg
81,0,0.0,0.98,1,0.0,0.0,0.16,0.0,1.48,0.15,0.53,0.8,1.61,1.44,0.22,0.94,0.0,0.03,0.03,0.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,anil_clip_029_3.jpg
82,0,0.0,0.98,1,0.0,0.0,0.06,0.0,1.76,0.21,0.66,1.13,2.0,1.51,0.24,0.81,0.0,0.0,0.16,0.24,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,anil_clip_030_1.jpg
83,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.01,0.11,0.7,1.29,2.39,1.43,0.17,0.72,0.0,0.0,0.36,0.22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,anil_clip_030_2.jpg
84,0,0.0,0.98,1,0.44,0.63,0.05,0.0,1.6,0.06,0.53,0.95,2.24,1.73,0.18,0.43,0.0,0.0,0.33,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,anil_clip_030_3.jpg
85,0,0.0,0.93,1,0.91,1.27,0.15,0.0,1.2,0.0,0.22,0.7,2.12,1.97,0.16,0.39,0.0,0.0,0.2,0.03,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,anil_clip_031_1.jpg
86,0,0.0,0.98,1,1.53,1.95,0.29,0.0,0.96,0.14,0.04,0.36,1.95,2.45,0.28,0.35,0.0,0.0,0.0,0.0,0.38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,anil_clip_031_2.jpg
87,0,0.0,0.98,1,1.1,1.32,0.24,0.0,1.01,0.39,0.04,0.63,2.33,1.73,0.15,0.32,0.0,0.0,0.33,0.0,0.38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,anil_clip_031_3.jpg
88,0,0.0,0.93,1,0.63,0.68,0.14,0.0,1.11,0.54,0.04,0.91,2.66,1.3,0.23,0.15,0.0,0.0,0.58,0.0,0.38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_032_1.jpg
89,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.12,0.65,0.0,1.31,3.08,0.79,0.11,0.02,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_032_2.jpg
90,0,0.0,0.98,1,0.0,0.0,0.92,0.0,1.88,1.0,0.79,1.29,2.34,1.71,0.54,0.29,0.46,0.0,0.79,0.0,0.02,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_032_3.jpg
91,0,0.0,0.93,1,0.0,0.0,1.66,0.0,2.58,1.54,1.56,1.24,1.61,2.35,0.91,0.65,1.02,0.0,0.59,0.0,0.08,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_033_1.jpg
92,0,0.0,0.93,1,0.0,0.0,2.56,0.0,3.33,1.99,2.29,1.26,0.9,2.89,1.55,0.94,1.48,0.0,0.48,0.0,0.14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_033_2.jpg
93,0,0.0,0.93,1,0.21,0.03,1.73,0.0,2.21,1.45,1.5,1.11,1.02,2.52,1.1,1.59,1.03,0.05,0.26,0.33,0.42,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_033_3.jpg
94,0,0.0,0.98,1,0.42,0.05,0.99,0.0,1.14,0.76,0.73,0.97,1.17,2.11,0.64,2.15,0.46,0.11,0.21,0.67,0.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_034_1.jpg
95,0,0.0,0.98,1,0.63,0.08,0.08,0.0,0.0,0.17,0.0,0.82,1.21,1.67,0.0,2.75,0.0,0.11,0.0,0.95,0.81,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_034_2.jpg
96,0,0.0,0.98,1,0.46,0.05,0.0,0.0,0.37,0.87,0.0,0.7,1.15,1.29,0.16,2.31,0.0,0.06,0.37,0.89,0.51,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_034_3.jpg
97,0,0.0,0.93,1,0.25,0.03,0.0,0.0,0.69,1.65,0.0,0.57,1.15,0.95,0.35,1.68,0.0,0.0,0.75,0.55,0.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_035_1.jpg
98,0,0.0,0.98,1,0.04,0.0,0.03,0.0,1.06,2.28,0.0,0.57,1.22,0.55,0.69,0.94,0.0,0.05,1.08,0.27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_035_2.jpg
99,0,0.0,0.98,1,0.0,0.0,0.03,0.0,0.93,1.53,0.03,0.48,1.27,0.37,0.53,0.44,0.1,0.05,0.92,0.88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_035_3.jpg
100,0,0.0,0.93,1,0.0,0.0,0.03,0.0,0.89,0.83,0.08,0.35,1.28,0.17,0.34,0.14,0.21,0.05,0.69,1.66,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_037_1.jpg
101,0,0.0,0.93,1,0.0,0.0,0.0,0.0,0.77,0.24,0.15,0.15,1.17,0.1,0.0,0.0,0.23,0.0,0.39,2.47,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_037_2.jpg
102,0,0.0,0.93,1,0.0,0.0,0.0,0.0,0.64,0.23,0.21,0.7,1.34,0.1,0.44,0.61,0.16,0.2,0.18,2.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_037_3.jpg
103,0,0.0,0.82,1,0.0,0.0,0.0,0.0,0.51,0.14,0.26,1.36,1.43,0.06,0.87,1.26,0.05,0.34,0.26,1.66,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,anil_clip_038_1.jpg
104,0,0.0,0.98,1,0.0,0.0,0.0,0.08,0.62,0.0,0.4,1.65,1.7,0.01,1.32,2.05,0.19,0.83,0.22,1.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,anil_clip_038_2.jpg
105,0,0.0,0.82,1,0.0,0.0,0.0,0.08,0.52,0.0,0.31,1.34,1.59,0.01,0.87,2.05,0.17,0.75,0.22,0.77,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,anil_clip_038_3.jpg
106,0,0.0,0.93,1,0.0,0.0,0.0,0.08,0.45,0.0,0.21,0.98,1.59,0.0,0.44,2.08,0.17,0.67,0.0,0.39,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_039_1.jpg
107,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.98,1.48,0.0,0.0,1.91,0.11,0.17,0.0,0.26,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_039_2.jpg
108,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.28,0.14,0.05,1.02,1.53,0.12,0.0,1.8,0.11,0.05,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_039_3.jpg
109,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.41,0.38,0.1,1.07,1.52,0.18,0.08,1.57,0.11,0.01,0.0,0.51,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_040_1.jpg
110,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.61,0.6,0.13,1.09,1.55,0.25,0.08,1.5,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_040_2.jpg
111,0,0.0,0.98,1,0.47,0.0,0.0,0.27,0.46,0.73,0.08,1.34,1.14,0.56,0.1,1.46,0.0,0.12,0.0,0.57,0.01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_040_3.jpg
112,0,0.0,0.93,1,0.74,0.0,0.0,0.34,0.26,0.72,0.03,1.43,0.73,0.89,0.1,1.61,0.0,0.35,0.0,0.37,0.01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_041 _1.jpg
113,0,0.0,0.98,1,1.06,0.0,0.0,0.34,0.0,0.86,0.0,1.58,0.4,1.01,0.21,1.54,0.0,0.62,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_041 _2.jpg
114,0,0.0,0.93,1,0.59,0.0,0.0,0.06,0.0,1.08,0.0,1.25,0.61,0.72,0.23,1.76,0.08,0.88,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_041 _3.jpg
115,0,0.0,0.98,1,0.32,0.0,0.0,0.0,0.02,1.35,0.0,1.14,0.83,0.49,0.16,1.72,0.23,1.07,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_042_1.jpg
116,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.04,1.34,0.0,0.95,0.95,0.48,0.05,1.9,0.39,1.24,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_042_2.jpg
117,0,0.0,0.98,1,0.0,0.0,0.0,0.36,0.1,1.24,0.09,0.7,0.86,0.34,0.0,1.43,0.3,0.94,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_042_3.jpg
118,0,0.0,0.93,1,0.0,0.0,0.0,0.73,0.15,1.24,0.15,0.34,0.8,0.2,0.0,1.12,0.15,0.56,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_043_1.jpg
119,0,0.0,0.93,1,0.0,0.0,0.0,1.12,0.21,1.3,0.2,0.0,0.74,0.01,0.0,0.73,0.0,0.16,0.0,0.79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,anil_clip_043_2.jpg
120,0,0.0,0.93,1,0.0,0.0,0.0,0.77,0.15,1.32,0.11,0.2,0.7,0.23,0.11,1.1,0.1,0.09,0.13,1.39,0.57,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,anil_clip_043_3.jpg
121,0,0.0,0.88,1,0.0,0.0,0.02,0.4,0.11,1.22,0.05,0.34,0.6,0.35,0.2,1.31,0.16,0.04,0.21,2.02,1.22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,asmita_clip_001_1.jpg
122,0,0.0,0.88,1,0.02,0.0,0.08,0.0,0.02,1.23,0.0,0.44,0.49,0.57,0.42,1.53,0.28,0.0,0.32,2.66,1.77,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,asmita_clip_001_2.jpg
123,0,0.0,0.88,1,0.07,0.0,0.08,0.0,0.57,1.43,0.01,0.47,1.05,0.89,0.31,1.37,0.18,0.0,0.78,2.04,1.32,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,asmita_clip_001_3.jpg
124,0,0.0,0.98,1,0.07,0.0,0.91,0.0,0.62,1.04,0.08,0.35,1.15,1.12,0.67,2.06,0.41,0.5,0.69,1.16,0.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_002_1.jpg
125,0,0.0,0.98,1,0.15,0.0,0.85,0.0,1.12,1.46,0.11,0.46,1.58,1.29,0.45,2.04,0.29,0.5,1.03,0.54,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,asmita_clip_002_2.jpg
126,0,0.0,0.98,1,0.1,0.0,0.95,0.0,1.39,1.43,0.18,1.07,1.54,1.29,0.62,2.31,0.65,0.5,1.26,0.53,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_002_3.jpg
127,0,0.0,0.98,1,0.1,0.0,0.1,0.0,2.11,1.88,0.12,1.84,2.02,1.56,0.47,1.91,0.62,0.0,1.85,0.58,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_003_1.jpg
128,0,0.0,0.98,1,0.0,0.0,0.18,0.0,2.49,1.65,0.1,2.46,2.15,1.69,0.63,2.04,0.97,0.0,2.17,0.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_003_2.jpg
129,0,0.0,0.98,1,0.0,0.0,0.09,0.0,1.83,1.37,0.02,2.05,2.52,1.82,0.46,1.42,0.62,0.0,1.37,0.47,0.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_003_3.jpg
130,0,0.0,0.98,1,0.0,0.0,0.09,0.0,1.27,0.92,0.01,1.76,2.89,1.74,0.17,0.66,0.35,0.0,0.88,0.42,0.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_004_1.jpg
131,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.74,0.4,0.0,1.55,3.28,2.02,0.0,0.13,0.0,0.0,0.16,0.06,0.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_004_2.jpg
132,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.95,0.14,0.0,1.35,3.29,1.79,0.28,0.51,0.0,0.21,0.15,0.01,1.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_004_3.jpg
133,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.13,0.33,0.0,1.12,3.26,1.65,0.41,0.86,0.0,0.44,0.04,0.01,2.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,asmita_clip_006_1.jpg
